U(6)	U(6)_prev	U(6)_new
1e-09	3.1622776601683794e-12	2.424162732887e-10
1e-09	1e-11	2.476171839510e-10
1e-09	3.1622776601683794e-11	2.640635132394e-10
1e-09	1e-10	3.160674304624e-10
1e-09	3.1622776601683795e-10	4.804788514054e-10
1e-09	1e-09	1.000000000000e-09
1e-09	3.1622776601683795e-09	2.638955825884e-09
1e-09	1e-08	7.783259961030e-09
1e-09	3.162277660168379e-08	2.368379870529e-08
3.1622776601683795e-09	0.0	7.595901288249e-10
3.1622776601683795e-09	1e-13	7.596656872247e-10
3.1622776601683795e-09	3.162277660168379e-13	7.598309418545e-10
3.1622776601683795e-09	1e-12	7.603519477430e-10
3.1622776601683795e-09	3.1622776601683794e-12	7.619992073730e-10
3.1622776601683795e-09	1e-11	7.672082601265e-10
3.1622776601683795e-09	3.1622776601683794e-11	7.836777231441e-10
3.1622776601683795e-09	1e-10	8.357656549487e-10
3.1622776601683795e-09	3.1622776601683795e-10	1.000434349998e-09
3.1622776601683795e-09	1e-09	1.520764834314e-09
3.1622776601683795e-09	3.1622776601683795e-09	3.162277660168e-09
3.1622776601683795e-09	1e-08	8.314520004977e-09
3.1622776601683795e-09	3.162277660168379e-08	2.423889204226e-08
1e-08	0.0	2.408123569409e-09
1e-08	1e-13	2.408198305743e-09
1e-08	3.162277660168379e-13	2.408364381046e-09
1e-08	1e-12	2.408888000974e-09
1e-08	3.1622776601683794e-12	2.410544704988e-09
1e-08	1e-11	2.415779507574e-09
1e-08	3.1622776601683794e-11	2.432328912561e-09
1e-08	1e-10	2.484675764991e-09
1e-08	3.1622776601683795e-10	2.650158103182e-09
1e-08	1e-09	3.173055670861e-09
1e-08	3.1622776601683795e-09	4.822647526766e-09
1e-08	1e-08	1.000000000168e-08
1e-08	3.162277660168379e-08	2.599973072305e-08
3.162277660168379e-08	0.0	7.676052334535e-09
3.162277660168379e-08	1e-13	7.676128228397e-09
3.162277660168379e-08	3.162277660168379e-13	7.676296891839e-09
3.162277660168379e-08	1e-12	7.676828655633e-09
3.162277660168379e-08	3.1622776601683794e-12	7.678512008406e-09
3.162277660168379e-08	1e-11	7.683828010716e-09
3.162277660168379e-08	3.1622776601683794e-11	7.700634238933e-09
3.162277660168379e-08	1e-10	7.753799980656e-09
3.162277660168379e-08	3.1622776601683795e-10	7.921851578448e-09
3.162277660168379e-08	1e-09	8.452872615200e-09
3.162277660168379e-08	3.1622776601683795e-09	1.012801524973e-08
3.162277660168379e-08	1e-08	1.538476936702e-08
3.162277660168379e-08	3.162277660168379e-08	3.162277660168e-08
