,time,cs_1mm,cs_5mm,cs_7mm,cs_9mm
152,24320000.0,1.934966270099e-09,1.019463978807e-10,1.01946287925e-10,1.0273227878e-10
153,24480000.0,1.97479870191e-09,1.01946402609e-10,1.019462938448e-10,1.027448273328e-10
154,24640000.0,2.015095082585e-09,1.019464072881e-10,1.019462997042e-10,1.027574548775e-10
155,24800000.0,2.055853938231e-09,1.019464119184e-10,1.019463055039e-10,1.02770160641e-10
156,24960000.0,2.097073715746e-09,1.019464165004e-10,1.019463112445e-10,1.0278294385e-10
157,25120000.0,2.138752784099e-09,1.019464210347e-10,1.019463169268e-10,1.027958037309e-10
158,25280000.0,2.18088943561e-09,1.019464255217e-10,1.019463225514e-10,1.028087395103e-10
159,25440000.0,2.223481887249e-09,1.019464299619e-10,1.01946328119e-10,1.028217504153e-10
160,25600000.0,2.266528281944e-09,1.019464343559e-10,1.019463336303e-10,1.028348356731e-10
161,25760000.0,2.310026689905e-09,1.01946438704e-10,1.01946339086e-10,1.028479945116e-10
162,25920000.0,2.353975109949e-09,1.019464430069e-10,1.019463444866e-10,1.028612261597e-10
163,26080000.0,2.398371470845e-09,1.019464472648e-10,1.01946349833e-10,1.028745298472e-10
164,26240000.0,2.44321363266e-09,1.019464514784e-10,1.019463551256e-10,1.028879048047e-10
165,26400000.0,2.488499388116e-09,1.019464556481e-10,1.019463603652e-10,1.029013502644e-10
166,26560000.0,2.534226463951e-09,1.019464597743e-10,1.019463655525e-10,1.029148654598e-10
167,26720000.0,2.580392522293e-09,1.019464638575e-10,1.01946370688e-10,1.029284496258e-10
168,26880000.0,2.626995162027e-09,1.019464678981e-10,1.019463757725e-10,1.029421019993e-10
169,27040000.0,2.674031920181e-09,1.019464718966e-10,1.019463808065e-10,1.029558218188e-10
170,27200000.0,2.721500273305e-09,1.019464758534e-10,1.019463857907e-10,1.029696083247e-10
171,27360000.0,2.769397638855e-09,1.01946479769e-10,1.019463907257e-10,1.029834607595e-10
172,27520000.0,2.817721376588e-09,1.019464836438e-10,1.019463956122e-10,1.02997378368e-10
173,27680000.0,2.866468789944e-09,1.019464874782e-10,1.019464004508e-10,1.030113603972e-10
