Cs	Cs_prev	Cs_new
1.7651149008330077e-11	1.7651149008330077e-11	1.7651149008330002e-11
1.7651149008330077e-11	2.1198538177982996e-11	2.119841340887e-11
1.7651149008330077e-11	2.545885373645242e-11	2.545857908757e-11
1.7651149008330077e-11	3.057537402495308e-11	3.057491932266e-11
1.7651149008330077e-11	3.672017233938683e-11	3.6719501323870006e-11
1.7651149008330077e-11	4.409990391397474e-11	4.4098973005010004e-11
1.7651149008330077e-11	5.296275592736719e-11	5.296151274696001e-11
1.7651149008330077e-11	6.360679426634714e-11	6.36051758157e-11
1.7651149008330077e-11	7.638998775648742e-11	7.638791830438001e-11
1.7651149008330077e-11	9.174224698388373e-11	9.173963542703e-11
1.7651149008330077e-11	1.1017988258464067e-10	1.101766193048e-10
1.7651149008330077e-11	1.3232296924772027e-10	1.323189223052e-10
1.7651149008330077e-11	1.5891619939858214e-10	1.589112098909e-10
1.7651149008330077e-11	1.908539278922281e-10	1.908478043834e-10
1.7651149008330077e-11	2.2921024999177514e-10	2.292027616708e-10
1.7651149008330077e-11	2.7527512418271516e-10	2.752659925782e-10
1.7651149008330077e-11	3.305977546664182e-10	3.305866434365e-10
1.7651149008330077e-11	3.970386925261443e-10	3.970251950889e-10
1.7651149008330077e-11	4.768324077758264e-10	4.768160319398e-10
1.7651149008330077e-11	5.726624366473305e-10	5.726425856673e-10
1.7651149008330077e-11	6.877516313887657e-10	6.877275804803e-10
1.7651149008330077e-11	8.25970547757794e-10	8.259414147066e-10
1.7651149008330077e-11	9.919676153812966e-10	9.919323236564e-10
1.7651149008330077e-11	1.1913254687306332e-09	1.191282700715e-09
1.7651149008330077e-11	1.430748696267397e-09	1.430696833813e-09
1.7651149008330077e-11	1.7182893219365112e-09	1.718226369625e-09
1.7651149008330077e-11	2.063617602157319e-09	2.063541088043e-09
1.7651149008330077e-11	2.4783472454651434e-09	2.478254090715e-09
1.7651149008330077e-11	2.9764259922398243e-09	2.976312338764e-09
1.7651149008330077e-11	3.5746046900776884e-09	3.574465669783e-09
1.7651149008330077e-11	4.293000640244322e-09	4.292830062944e-09
1.7651149008330077e-11	5.155774161068875e-09	5.155564087513e-09
1.7651149008330077e-11	6.191941121730798e-09	6.191681272859e-09
1.7651149008330077e-11	7.436348772699602e-09	7.436025702955e-09
1.7651149008330077e-11	8.93084769090527e-09	8.930443618066e-09
1.7651149008330077e-11	1.0725699253236212e-08	1.072519038391e-08
1.7651149008330077e-11	1.2881265972996411e-08	1.288062007927e-08
1.7651149008330077e-11	1.547004154689596e-08	1.546921442242e-08
1.7651149008330077e-11	1.857908888492705e-08	1.857801910871e-08
